name,Calories_Kcal,Carbs_g,Cholesterol_mg,Fats_g,Fiber_g,Protein_g,Sugars_g,img_src,url
Sauteed Apples,150.0,24.0,15.0,6.0,3.0,0.0,20.0,https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg,https://www.allrecipes.com/recipe/21672/sauteed-apples/
Homemade Apple Cider,88.0,22.0,0.0,0.0,2.0,0.0,18.0,https://www.allrecipes.com/thmb/M0dm6zV9huJMIy70_9np9ztM4Sw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Homemade-Apple-Cider-LaDonna-Langwell-1x1-1-a6afe5b44bd246d39e597ed59281bbd5.jpg,https://www.allrecipes.com/recipe/211772/homemade-apple-cider/
Canned Apple Pie Filling,100.0,25.0,0.0,0.0,1.0,0.0,21.0,https://www.allrecipes.com/thmb/qcarmR-fmWcDZGS8BGjP51tm9Eg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1426682-1c6ec83bc56b426b9d812e0a26b1a739.jpg,https://www.allrecipes.com/recipe/15942/canned-apple-pie-filling/
Easy Apple Pie,257.0,42.0,4.0,9.0,3.0,2.0,29.0,https://www.allrecipes.com/thmb/aZyGZaTNLn-ewSEGDwwmEOwrRNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12324-EasyApplePie-ddmfs-1x1-0016-c0401f8117954ba9a03c62ebba7f16af.jpg,https://www.allrecipes.com/recipe/12324/apple-pie-i/
Apple Crumb Pie,431.0,70.0,11.0,15.0,4.0,4.0,49.0,https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg,https://www.allrecipes.com/recipe/15587/apple-crumb-pie/
Caramel Apples,350.0,70.0,5.0,6.0,3.0,4.0,57.0,https://www.allrecipes.com/thmb/Gc2LqawZpqaCSWaMdsNx5RK9J2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481786-6c24ca3a641f43eea1597930a40b6178.jpg,https://www.allrecipes.com/recipe/21130/caramel-apples/
German Apple Cake,210.0,28.0,16.0,10.0,1.0,2.0,19.0,https://www.allrecipes.com/thmb/u5wGUc1jJfOfLV8eG9Fl87sTyEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2327614-809148baeed6489bbab268a7d527a08a.jpg,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/
"Awesome Sausage, Apple and Cranberry Stuffing",248.0,22.0,80.0,12.0,2.0,13.0,9.0,https://www.allrecipes.com/thmb/A16n6yykk6y6ofEi8akwV-6V9Ck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Stuffing_5279-7495521ab45c4b8880373657bedc0db5.jpg,https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/
Apple Hand Pies,742.0,82.0,62.0,42.0,6.0,9.0,31.0,https://www.allrecipes.com/thmb/euXNMeXiywj4v6L_dLhpSqwsN0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/234374-apple-hand-pies-mfs-1-8458cf2b0e764a7ab31c2d6aa0e3e841.jpg,https://www.allrecipes.com/recipe/234374/apple-hand-pies/
Amazing Apple Butter,80.0,20.0,0.0,0.0,2.0,0.0,16.0,https://www.allrecipes.com/thmb/x6vOON48-nGa1EFyDtv3yP_-yNE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4097964-91fe5b73052648c7a2dad2ee8283ad23.jpg,https://www.allrecipes.com/recipe/229892/amazing-apple-butter/
Easy Apple Cinnamon Muffins,601.0,79.0,73.0,29.0,3.0,6.0,47.0,https://www.allrecipes.com/thmb/KJ3htdTnxZsf9tSvbqILDsqeSaI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5907258-easy-apple-cinnamon-muffins-Kelly-McCulley-1x1-1-b3c6941ddef3499bafc0399c022ac08f.jpg,https://www.allrecipes.com/recipe/24352/easy-apple-cinnamon-muffins/
Debbie's Amazing Apple Bread,376.0,63.0,37.0,12.0,1.0,4.0,43.0,https://www.allrecipes.com/thmb/scNfqqIpDtfCcaFQIjsvzmxCSV0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4580871_Debbies-Amazing-Apple-Bread-1x1-1-3f46182021ab4a889b86f7dac9c1c9fb.jpg,https://www.allrecipes.com/recipe/231288/debbies-amazing-apple-bread/
Mom's Apple Fritters,121.0,17.0,16.0,5.0,1.0,2.0,3.0,https://www.allrecipes.com/thmb/cU_5TCv2LWEf-I2QJbXTsJUaGSI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/90295-moms-apple-fritters-ddmfs-1X1-5783-a6edf46cd33c4a00ad5a02432822e57d.jpg,https://www.allrecipes.com/recipe/90295/moms-apple-fritters/
Easy Apple Crisp with Pie Filling,567.0,67.0,0.0,31.0,2.0,5.0,9.0,https://www.allrecipes.com/thmb/bQ7QL-XFrgBwNMsa43zSyaX_xmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7813774-acbbc3ca7c0f4caaa24f2d4c07b7b83f.jpg,https://www.allrecipes.com/recipe/22917/easy-apple-crisp-with-pie-filling/
Apple Strudel Muffins,266.0,41.0,54.0,10.0,1.0,3.0,24.0,https://www.allrecipes.com/thmb/QTc6kTodu38CuuTDlcAz9XbueDA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1097944-apple-strudel-muffins-Korona-1x1-2-6710dec0aba7474a80c89f21a2059ebc.jpg,https://www.allrecipes.com/recipe/33157/apple-strudel-muffins/
Delicious Cinnamon Baked Apples,161.0,37.0,2.0,1.0,6.0,1.0,27.0,https://www.allrecipes.com/thmb/wYuZO3nEvxY6WgITCcHa78l2wlo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228683-delicious-cinnamon-baked-apples-ddmfs-4X3-1428-9500d581c4ad4d74acc67e4f6c947326.jpg,https://www.allrecipes.com/recipe/228683/delicious-cinnamon-baked-apples/
Waldorf Salad,293.0,24.0,7.0,21.0,3.0,2.0,17.0,https://www.allrecipes.com/thmb/0-fRnnKLjtwxVaqh2PUbkiOTbVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2180807_Waldorf-Salad-II-4x3-1-0d929166ff114b14a0e818e001e0dbe4.jpg,https://www.allrecipes.com/recipe/16800/waldorf-salad-ii/
Apple-Cranberry Crostada,418.0,60.0,19.0,18.0,5.0,4.0,40.0,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/
Apple Pie by Grandma Ople,387.0,52.0,31.0,19.0,3.0,2.0,0.0,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/
Sarah's Homemade Applesauce,128.0,32.0,0.0,0.0,4.0,0.0,27.0,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/
Apple Crisp,324.0,61.0,20.0,8.0,3.0,2.0,44.0,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/
Apple Pie Filling,132.0,33.0,0.0,0.0,1.0,0.0,28.0,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,https://www.allrecipes.com/recipe/12681/apple-pie-filling/
Easy Apple Crisp with Oat Topping,641.0,99.0,61.0,25.0,8.0,5.0,63.0,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/
Easy Apple Cider,172.0,43.0,0.0,0.0,1.0,0.0,38.0,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,https://www.allrecipes.com/recipe/42022/easy-apple-cider/
Apple-Cranberry Crisp,288.0,43.0,15.0,12.0,4.0,2.0,32.0,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/
Old-Fashioned Apple Dumplings,927.0,148.0,41.0,35.0,7.0,5.0,115.0,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/
Southern Fried Apples,391.0,45.0,61.0,23.0,5.0,1.0,39.0,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,https://www.allrecipes.com/recipe/230907/southern-fried-apples/
Apple Turnovers,574.0,80.0,8.0,26.0,2.0,5.0,50.0,https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg,https://www.allrecipes.com/recipe/59124/apple-turnovers/
