Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid
Black gram,Grains,0.053,105.0,18.0,0.0,0.00014,0.55,6.4,9.4e-05,0.0018,0.063,0.03,12.0,0.0,0.0,0.0,0.156,0.36,0.231,7.5,0.04,2.5e-06,0.007,0.0,31.0,2e-06,0.00015,0.0,8e-05,0.0015,0.00043,6e-05,0.001,0.00083,0.03,0.0,0.0002099999999999,0.00039,0.00063,0.0005,0.00041,0.00011,0.00044,0.0,2.0,0.00026,8e-05,0.0004199999999999,0.0,0.00015,2.7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pigeon pea,Grains,0.043,121.0,23.0,0.0,0.00027,0.38,6.7,0.000111,0.0011,0.046,0.0,17.0,0.0,0.0,0.0,0.119,0.21,0.384,6.8,0.08,2.9e-06,0.005,0.0,3.0,0.0,0.00015,0.0,6e-05,0.00078,0.00032,5e-05,0.0,0.0009,0.0,0.0,0.0002399999999999,0.00025,0.0004799999999999,0.00047,0.0005,8e-05,0.00058,0.0,0.0,0.0002399999999999,7.000000000000001e-05,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refried beans,Grains,0.029,90.0,14.0,0.0,0.00013,2.0,3.7,1.1e-05,0.0014,0.035,0.6,9.9,0.0,0.0,0.0,0.092,0.54,0.319,5.0,0.63,5.8e-06,0.37,0.02,0.0,0.0,8e-05,0.0,8e-05,0.00037,0.00019,0.0001,0.006,0.00058,0.021,0.0,0.153,0.0002399999999999,0.00044,0.00038,0.00029,8e-05,0.0003,7.4,0.54,0.00023,7.000000000000001e-05,0.00029,0.0,8.999999999999999e-05,2.1e-06,0.17,0.01,0.0,0.0,0.0,0.36,0.0
Soybean,Grains,0.102,172.0,8.4,0.0,0.00041,9.0,6.0,5.4e-05,0.0050999999999999,0.086,2.0,2.4,0.0,0.0,0.0,0.245,5.1,0.515,18.0,1.3,7.299999999999999e-06,0.001,0.0,9.0,0.0,0.00016,0.0,0.00029,0.0004,0.0001799999999999,0.00023,0.0017,0.0012,0.048,0.0,0.00045,0.00081,0.0014,0.0011,0.00082,0.00022,0.00087,0.0,3.0,0.0007199999999999,0.0002399999999999,0.00083,0.0,0.00035,1.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nattō,Grains,0.217,211.0,13.0,0.0,0.00067,11.0,5.4,8e-06,0.0086,0.115,2.4,7.3,0.0,0.0,0.0,0.174,6.2,0.729,19.0,1.6,8.8e-06,0.007,0.0,0.0,0.0,0.00016,0.0,0.00019,0.0,0.00022,0.00013,0.013,0.003,0.057,0.0,0.00051,0.00093,0.0015,0.0011,0.0015,0.0002099999999999,0.00094,0.0,4.9,0.00081,0.00022,0.001,0.0,1e-05,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tempeh,Grains,0.111,192.0,7.6,0.0,0.00056,11.0,0.0,2.4e-05,0.0027,0.081,3.2,7.6,0.0,0.0,0.0,0.266,4.3,0.412,20.0,2.5,0.0,0.009,0.0,0.0,0.0,8e-05,8e-08,0.0003599999999999,0.0026,0.00028,0.00022,0.0,0.0011,0.0,0.0,0.00047,0.00088,0.0014,0.00091,0.0013,0.0001799999999999,0.00089,0.0,0.0,0.0008,0.00019,0.00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soybean meal,Grains,0.244,337.0,36.0,0.0,0.002,2.4,0.0,0.000303,0.014,0.306,0.41,36.0,0.0,0.0,0.0,0.701,1.0,2.49,49.0,0.27,3.3e-06,0.003,0.0,40.0,2e-06,0.00069,0.0,0.00025,0.0026,0.002,0.00057,0.0,0.0050999999999999,0.0,0.0,0.0012,0.0022,0.0037,0.003,0.0038,0.00061,0.0023,0.0,0.0,0.002,0.00065,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Okara,Grains,0.08,76.0,12.0,0.0,0.0002,1.7,0.0,2.6e-05,0.0013,0.026,0.3,12.0,0.0,0.0,0.0,0.06,0.76,0.213,3.5,0.19,1.1e-05,0.009,0.0,0.0,0.0,2e-05,0.0,2e-05,0.0001,8.999999999999999e-05,0.0001199999999999,0.0,0.00056,0.0,0.0,8.999999999999999e-05,0.00016,0.0002399999999999,0.0002099999999999,0.0004,4e-05,0.00016,0.0,0.0,0.00013,5e-05,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winged beans,Grains,0.142,147.0,15.0,0.0,0.00077,5.8,0.0,1e-05,0.0043,0.054,2.2,15.0,0.0,0.0,0.0,0.153,1.6,0.28,11.0,0.83,2.9e-06,0.013,0.0,0.0,0.0,0.0003,0.0,0.00013,0.00083,0.00016,5e-05,0.0,0.0014,0.0,0.0,0.0002399999999999,0.00045,0.00076,0.00065,0.0012,0.00011,0.00044,0.0,0.0,0.0003599999999999,0.00023,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falafel,Grains,0.054,333.0,32.0,0.0,0.00026,18.0,0.0,9.3e-05,0.0034,0.082,10.0,32.0,0.0,0.0,0.0,0.192,4.2,0.585,13.0,2.4,1e-06,0.294,0.0,13.0,1e-06,0.00015,0.0,0.00017,0.001,0.00029,0.00013,0.0016,0.0015,0.0,0.0,0.0003599999999999,0.00057,0.00094,0.00086,0.00069,0.00019,0.0007099999999999,0.0,0.0,0.00049,0.00013,0.00056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chickpea flour (besan),Grains,0.045,387.0,58.0,0.0,0.00091,6.7,11.0,0.000437,0.0049,0.166,1.5,47.0,0.0,0.0,0.0,0.318,3.0,0.846,22.0,0.69,8.3e-06,0.064,0.0,41.0,2e-06,0.00049,0.0,0.00011,0.0018,0.00061,0.00049,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.00083,9.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hummus,Grains,0.038,166.0,14.0,0.0,0.00053,9.6,6.0,8.3e-05,0.0024,0.071,4.0,8.3,0.0,0.0,0.0,0.176,3.6,0.228,7.9,1.4,2.6e-06,0.379,0.0,30.0,0.0,0.0001799999999999,0.0,6e-05,0.00058,0.00013,0.0002,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.00077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soy yogurt,Grains,0.132,66.0,9.7,0.0,0.0,1.8,0.4,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.22,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,1.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tofu,Grains,0.683,144.0,2.8,0.0,0.00038,8.7,2.3,2.9e-05,0.0027,0.058,1.9,0.48,0.0,0.0,0.0,0.19,4.9,0.237,17.0,1.3,1.7e-05,0.014,0.0,166.0,0.0,0.00016,0.0,0.0001,0.00038,0.00013,8.999999999999999e-05,0.0002,0.0016,0.0,0.0,0.00043,0.00085,0.0014,0.00088,0.0012,0.0002099999999999,0.0008399999999999,0.0,0.0,0.00079,0.0002399999999999,0.00087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheat Bread,Grains,0.165,313.0,56.0,0.0,0.0002,4.3,4.7,8.6e-05,0.0040999999999999,0.059,1.0,51.0,0.0,0.0,0.0,0.188,1.7,0.223,13.0,0.99,3.3e-05,0.601,0.0,0.0,0.0,0.00044,0.0,0.00038,0.0063,0.00046,0.00015,0.0002,0.0015,0.022,0.0,0.00015,0.00026,0.00046,0.00022,0.0014,0.00011,0.00032,0.0,6.4,0.0003,8.999999999999999e-05,0.00031,0.0,0.0002399999999999,5.7000000000000005e-06,0.16,0.0,0.0,0.0,0.0,0.0,0.0
